Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO2121,CO2121_CA,CO2121_attendance,CO2122,CO2122_CA,CO2122_attendance,CO2112,CO2112_CA,CO2112_attendance,CO2123,CO2123_CA,CO2123_attendance,CO2124,CO2124_CA,CO2124_attendance,CO2114,CO2114_CA,CO2114_attendance,CO2125,CO2125_CA,CO2125_attendance,CO2115,CO2115_CA,CO2115_attendance,CO2126,CO2126_CA,CO2126_attendance,3sem_gpa,2nd_sem_GPA,3sem_pass/fail
Female,5,No,No,Yes,B+,25,1,B+,19,1,A+,23,1,B,21,1,C+,24,1,B-,16,1,B+,25,1,B+,22,1,A-,22,1,3.19,2.915,1
Male,6,No,No,No,B,29,1,C-,27,1,B,30,1,B,28,1,B-,30,1,B,26,1,C+,30,1,B+,29,1,A-,29,1,2.81,3.245,0
Male,4,Yes,No,Yes,A,30,1,C,28,1,B,32,1,C,30,1,D+,31,1,B,28,1,D+,31,1,B,30,1,B,32,1,2.41,2.24,0
Female,4,No,No,No,A+,24,1,ab,20,0,ab,25,1,A,22,1,C+,25,1,B-,19,1,A-,26,1,B,23,1,A+,24,1,2.78,2.8,0
Male,3,No,Yes,No,B,31,1,C-,29,1,ab,31,0,C,30,1,C,32,1,B,29,1,C+,32,1,B+,31,1,B-,32,1,2.25,2.615,0
Male,4,No,No,Yes,B+,29,1,D,26,1,A,30,1,C,27,1,D+,30,1,B+,25,1,C+,30,1,B-,28,1,B,29,1,2.39,2.69,0
Male,3,Yes,No,No,B-,21,1,E,14,1,A+,19,1,B-,16,1,C,21,1,B+,12,1,B,21,1,B,19,1,A-,18,1,2.57,2.425,0
Female,5,No,No,No,A-,30,1,B+,28,1,A+,31,1,A,29,1,B-,31,1,B,28,1,A,32,1,B+,31,1,A-,30,1,3.54,3.17,1
Female,4,Yes,No,No,A-,28,1,C+,24,1,A-,28,1,C+,25,1,C,28,1,B,22,1,B,29,1,B,26,1,A-,27,1,2.91,2.885,1
Male,4,No,No,No,C+,25,1,C+,20,1,B+,27,1,B,23,1,C+,27,1,A,19,1,B,27,1,B,25,1,A,24,1,2.94,2.985,1
Female,2,Yes,No,No,C+,30,1,D,28,1,A,31,1,B+,30,1,D+,32,1,C-,28,1,B-,32,1,B+,30,1,B,31,1,2.41,2.7,0
Male,6,No,No,No,B,29,1,ab,26,0,ab,30,0,D+,28,1,E,30,1,ab,25,0,ab,30,0,ab,29,0,D,30,1,0.71,1.96,0
Male,less than 1 hour,Yes,No,Yes,C+,27,1,C+,24,1,A,28,1,B+,26,1,ab,29,0,ab,23,0,B-,28,1,B,27,1,A-,28,1,2.37,2.955,0
Female,3,No,No,Yes,B,21,1,C-,15,1,B+,20,1,C+,18,1,C+,22,1,A-,14,1,C+,21,1,C+,19,1,A,19,1,2.7,2.495,1
Male,4,No,No,No,B-,29,1,D,27,1,B-,30,1,D,29,1,D,30,1,B+,25,1,D+,30,1,B-,28,1,B,29,1,1.91,2.455,0
Male,3,No,No,No,B+,30,1,B-,28,1,B-,31,1,B+,30,1,C+,32,1,B,28,1,C+,31,1,B-,31,1,A,32,1,2.95,2.74,0
Male,2,No,Yes,No,B+,20,1,D+,12,1,B+,18,1,C+,14,1,C-,20,1,D+,10,1,D+,19,1,C+,17,1,B,16,1,2.18,2.62,0
Male,5,No,No,No,B+,29,1,C-,25,1,B+,28,1,C+,26,1,C,29,1,B-,23,1,D+,29,1,D+,28,1,B+,29,1,2.34,2.715,0
Male,3,No,No,No,B+,26,1,C-,22,1,B,27,1,ab,24,0,E,27,1,B-,20,1,E,28,1,B,25,1,B-,26,1,1.61,2.255,0
Male,2,Yes,No,No,C-,15,1,ab,8,0,ab,14,0,D,11,1,ab,15,0,B+,6,1,E,15,1,D+,11,1,E,10,1,0.67,2.31,0
Male,1,Yes,No,Yes,C-,28,1,ab,25,0,ab,29,0,E,26,1,E,29,1,B,22,1,ab,29,0,D,28,1,E,28,1,0.49,1.56,0
Male,3,No,No,No,A,23,1,A,24,1,A+,22,1,B-,23,1,B,24,1,A-,25,1,A,24,1,A+,26,1,B,25,1,3.54,3.455,1
Male,2,No,No,No,B+,29,1,B+,28,1,B+,27,1,C+,30,1,C,29,1,C+,28,1,C+,30,1,C+,31,1,A,29,1,2.82,3.58,1
Male,4,No,No,No,A+,31,1,A+,30,1,A+,29,1,A,31,1,B,30,1,A+,31,1,A+,30,1,A,29,1,A,31,1,3.86,3.51,1
Male,3,No,Yes,No,A-,21,1,A,22,1,A,20,1,B+,21,1,B,20,1,B-,21,1,B,22,1,B,20,1,A,21,1,3.45,3.825,1
Female,5,Yes,No,No,A+,26,1,A+,27,1,A+,25,1,B,26,1,B,25,1,A,26,1,A+,25,1,A+,24,1,A,25,1,3.73,3.235,1
Male,3,Yes,No,Yes,A-,30,1,A+,29,1,A+,31,1,B-,30,1,B+,31,1,A,30,1,A-,29,1,A+,30,1,A-,31,1,3.61,3.915,1
Male,2,No,Yes,No,A+,24,1,A+,25,1,A+,23,1,B,24,1,B,23,1,A+,24,1,A,25,1,A+,24,1,A-,23,1,3.69,1.735,1
Male,less than 1 hour,Yes,Yes,Yes,B+,22,1,B,21,1,A+,23,1,C,22,1,C,21,1,B+,22,1,B+,21,1,B+,20,1,A-,21,1,3.01,3.6,1
Female,6,No,No,No,A-,27,1,A+,28,1,A+,26,1,B,27,1,B,26,1,A,27,1,A,28,1,A+,27,1,A,26,1,3.69,3.19,1
Male,less than 1 hour,Yes,Yes,Yes,A+,30,1,A+,29,1,A,31,1,A,30,1,B,31,1,B+,30,1,A+,29,1,A+,30,1,A,31,1,3.82,3.3,1
Female,6,No,No,Yes,B-,24,1,B,23,1,A-,25,1,A,24,1,C+,25,1,B+,24,1,B+,23,1,B,24,1,B+,25,1,3.15,3.74,1
Male,5,Yes,No,No,B,29,1,B,30,1,B+,28,1,C+,29,1,C,30,1,B-,29,1,B-,28,1,B-,29,1,A-,30,1,2.8,3.395,1
Male,3,Yes,No,Yes,B-,31,1,C+,30,1,A+,29,1,C-,31,1,B,30,1,B-,31,1,A,30,1,A,29,1,B+,31,1,2.98,2.87,0
Male,4,No,No,Yes,C-,26,1,D+,27,1,A+,25,1,C-,26,1,E,25,1,D+,26,1,E,27,1,C,26,1,B+,25,1,1.55,2.98,0
Female,1,Yes,No,No,A,22,1,A,21,1,A+,20,1,B+,21,1,C-,22,1,A,21,1,A,20,1,A+,21,1,B+,20,1,3.51,2.525,0
Male,1,No,No,Yes,B-,27,1,A,28,1,A+,26,1,C+,27,1,C-,28,1,C,27,1,A,28,1,A,29,1,B+,28,1,3.06,1.665,0
Female,3,Yes,No,No,A,30,1,A,29,1,A+,31,1,A,30,1,A+,31,1,A+,30,1,A+,29,1,A+,30,1,A+,31,1,4,3.43,1
Female,6,Yes,No,Yes,ab,25,0,ab,26,0,ab,24,1,ab,25,0,ab,24,0,ab,25,1,ab,26,0,ab,25,0,ab,24,0,0,3.86,0
Male,less than 1 hour,Yes,Yes,Yes,A,24,1,B,23,1,A,25,1,C,24,1,C,23,1,B,24,1,B,25,1,A+,24,1,A+,23,1,3.13,2.645,1
Female,3,No,No,Yes,A+,29,1,A+,28,1,A+,30,1,C+,29,1,C+,30,1,A+,29,1,A,28,1,A+,29,1,B,30,1,3.41,1.325,1
Male,4,Yes,No,No,A,21,1,A-,20,1,A+,22,1,B+,21,1,B+,20,1,A,21,1,A,20,1,A+,21,1,A-,22,1,3.73,2.79,1
Female,2,No,No,No,B+,27,1,B-,28,1,ab,26,0,B-,27,1,B-,26,1,C+,27,1,B,28,1,B,27,1,B+,26,1,2.71,3.565,0
Female,less than 1 hour,Yes,No,No,B,30,1,B+,29,1,A+,31,1,B,30,1,C-,31,1,B+,30,1,B+,29,1,A+,30,1,B+,31,1,3.1,3.23,0
Female,4,No,No,No,B+,24,1,C,25,1,B+,23,1,ab,24,0,C+,25,1,C+,24,1,B+,25,1,C,24,1,B-,25,1,2.32,3.15,0
Male,3,Yes,No,No,A-,29,1,B,30,1,A+,31,1,C-,30,1,C+,29,1,C,30,1,B,31,1,B,30,1,B+,31,1,2.86,2.625,1
Male,less than 1 hour,No,No,Yes,B+,26,1,A,25,1,A,27,1,B-,26,1,B-,25,1,B,26,1,A,25,1,B+,26,1,B+,25,1,3.53,2.305,1
Male,1,No,No,Yes,B,28,1,B+,29,1,A,27,1,C,28,1,C,29,1,A,28,1,B,29,1,B,28,1,B+,29,1,2.95,3.11,1
Male,3,No,No,No,A,30,1,B,29,1,A,31,1,C,30,1,C+,31,1,B+,30,1,B,29,1,B,30,1,B,31,1,2.99,2.57,1
Female,4,No,No,No,C+,22,1,B+,21,1,B+,20,1,ab,21,1,D+,22,1,C,21,1,D,20,1,C,21,1,B,20,1,1.94,3.185,0
Male,2,No,Yes,Yes,A,27,1,A+,28,1,A,26,1,B+,27,1,B,28,1,A,27,1,B+,28,1,A+,29,1,A,28,1,3.68,2.405,1
Female,3,Yes,No,No,ab,25,0,ab,26,0,A+,24,1,ab,25,0,C,24,1,B+,25,1,C,26,1,A,25,1,A-,24,1,1.78,2.425,0
Male,2,No,No,No,B-,30,1,B-,29,1,A,31,1,D+,30,1,C,29,1,A+,30,1,B+,31,1,A+,30,1,B+,31,1,2.84,2.665,0
Male,5,No,No,No,ab,24,0,ab,25,0,A,23,1,ab,24,0,ab,23,0,ab,24,0,ab,25,0,C,24,1,B+,23,1,0.84,2.25,0
Male,2,No,No,No,A-,29,1,B-,28,1,A,30,1,C,29,1,C,30,1,C-,29,1,C+,28,1,C+,29,1,B,30,1,2.63,2.625,0
Male,6,No,No,Yes,C+,22,1,C,21,1,A,20,1,D+,21,1,C,20,1,C+,21,1,B,22,1,A,20,1,B+,21,1,2.54,2.74,0
Male,less than 1 hour,No,Yes,No,A,30,1,B,29,1,A+,31,1,C,30,1,C+,31,1,B,30,1,C,29,1,B,30,1,B+,31,1,2.88,1.195,1
Male,2,Yes,No,No,ab,27,0,ab,28,0,ab,26,0,ab,27,0,ab,26,1,ab,27,0,ab,28,1,ab,27,0,ab,26,0,0,2.565,0
Male,3,No,Yes,No,B,30,1,B,29,1,A+,31,1,C,30,1,B,29,1,C+,30,1,B,31,1,A,30,1,A,31,1,3.09,2.585,1
Male,2,Yes,No,Yes,C,25,1,B+,26,1,A,24,1,C,25,1,C,24,1,B+,25,1,A+,26,1,B+,25,1,A-,24,1,2.97,2.325,1
Male,4,No,No,No,A,29,1,A,30,1,A,31,1,B-,30,1,C+,29,1,A,30,1,A+,31,1,A+,30,1,A,31,1,3.6,2.395,1
Male,4,No,No,Yes,A+,21,1,A-,20,1,A+,22,1,B+,21,1,B,20,1,ab,21,0,A+,20,1,B+,21,1,A,20,1,3.42,2.88,0
Male,less than 1 hour,Yes,Yes,Yes,B+,28,1,C,29,1,A,27,1,ab,28,0,C,29,1,B,28,1,C+,29,1,B,28,1,B+,27,1,2.39,3.635,1
Male,2,No,No,Yes,ab,24,0,ab,25,0,ab,23,0,ab,24,0,ab,23,0,ab,24,1,ab,25,1,ab,24,1,ab,25,1,0,3.065,0
Male,less than 1 hour,Yes,No,No,A,31,1,A+,30,1,A+,29,1,B+,31,1,B,30,1,B,31,1,A-,30,1,A+,29,1,A+,31,1,3.67,3.085,1
Male,3,No,No,No,B,26,1,C,25,1,A,27,1,ab,26,0,B,25,1,A,26,1,B,25,1,A+,26,1,B,25,1,2.67,1.68,0
Male,3,Yes,No,No,A,30,1,A,29,1,A,31,1,B,30,1,B,29,1,B+,30,1,A+,31,1,A+,30,1,A+,31,1,3.69,3.35,1
Female,5,No,No,No,A-,22,1,B-,21,1,A+,20,1,B-,21,1,C+,22,1,A+,21,1,B+,20,1,A,21,1,B+,20,1,3.2,2.96,1
Male,2,Yes,Yes,No,ab,27,0,ab,28,0,ab,26,0,ab,27,1,ab,28,1,ab,27,1,ab,28,0,ab,27,0,B+,28,1,0.44,2.775,0
Male,4,Yes,No,No,A,30,1,B,29,1,A+,31,1,C+,30,1,C+,31,1,A+,30,1,B,29,1,B+,30,1,B+,31,1,3.14,3.12,1
Male,less than 1 hour,Yes,Yes,Yes,A-,21,1,A+,20,1,B+,22,1,C,21,1,D+,20,1,B+,21,1,C,20,1,B,21,1,B+,20,1,2.81,2.565,0
Male,less than 1 hour,No,No,No,B-,26,1,B,25,1,A-,27,1,C-,26,1,C,25,1,C,26,1,B-,27,1,B-,26,1,B+,25,1,2.61,2.99,0
Female,2,No,No,Yes,B,28,1,A+,29,1,A-,27,1,C-,28,1,C+,29,1,A,28,1,B+,29,1,B-,28,1,B+,29,1,3.04,2.525,0
Male,1,Yes,No,No,C+,30,1,B-,29,1,A+,31,1,C+,30,1,C,31,1,B+,30,1,C,29,1,C+,30,1,B+,31,1,2.59,2.885,1
Male,5,No,No,No,B+,24,1,A,23,1,A+,25,1,B-,24,1,B-,23,1,A,24,1,B+,25,1,D,24,1,B+,25,1,3.17,3.045,0
Male,2,Yes,No,No,B,29,1,A-,28,1,A-,30,1,C,29,1,D+,30,1,B+,29,1,C+,28,1,B+,29,1,A-,30,1,2.82,3.03,0
Male,3,Yes,No,No,A-,25,1,A-,26,1,A+,24,1,C+,25,1,B,24,1,A,25,1,B-,26,1,B,25,1,A-,24,1,3.28,3.205,1
Female,2,Yes,No,No,A,30,1,A+,29,1,A+,31,1,B,30,1,B,29,1,A+,30,1,A-,31,1,A+,30,1,A-,31,1,3.65,3.345,1
Male,4,No,No,No,ab,22,0,ab,21,0,ab,20,0,ab,21,0,ab,22,0,ab,21,0,ab,20,0,ab,21,0,ab,20,0,0,2.29,0
Male,3,No,No,No,B+,26,1,B,25,1,B,27,1,C-,26,1,C+,25,1,A-,26,1,B-,27,1,B,26,1,A-,25,1,2.87,3.495,0
Male,4,No,No,No,A-,29,1,B-,28,1,B,30,1,C+,29,1,C,30,1,A-,29,1,D+,28,1,B-,29,1,B+,30,1,2.66,1.59,0
Male,less than 1 hour,Yes,No,Yes,ab,25,1,A,26,1,A+,24,1,B,25,1,B+,24,1,B+,25,1,B+,26,1,B+,25,1,A,24,1,3.05,2.905,0
Female,less than 1 hour,Yes,No,Yes,A-,28,1,B,29,1,A+,27,1,C-,28,1,C-,29,1,A-,28,1,B,29,1,B+,28,1,B+,27,1,2.92,2.435,0
Female,2,No,No,No,A,24,1,A,25,1,A,23,1,B-,24,1,C,23,1,A,24,1,B+,25,1,A,24,1,B+,25,1,3.37,3.51,1
Female,6,No,No,No,A+,31,1,A,30,1,A,29,1,B+,31,1,C+,30,1,A,31,1,B+,30,1,B-,29,1,B+,31,1,3.41,2.94,1
Male,5,No,No,No,A-,30,1,B,29,1,A,31,1,C-,30,1,C+,31,1,B+,30,1,B-,29,1,B-,30,1,B-,31,1,2.81,3,0
Female,6,No,No,No,A-,28,1,A+,29,1,A+,27,1,B+,28,1,B+,29,1,ab,28,0,B,29,1,A-,28,1,A-,29,1,3.31,3.43,0
Female,more than 6 hours,No,No,No,A,22,1,A+,21,1,A-,20,1,B,21,1,B,22,1,B+,21,1,A,20,1,A+,21,1,A-,20,1,3.63,3.12,1
Male,2,Yes,No,No,B+,30,1,C+,29,1,B+,31,1,ab,30,0,C+,31,1,A+,30,1,B,29,1,A-,30,1,A-,31,1,2.68,2.92,0
Male,5,No,No,No,A+,29,1,A+,28,1,A+,30,1,ab,29,0,B,30,1,A,29,1,A-,28,1,A+,29,1,A,30,1,3.29,3.7,0
Male,2,Yes,No,Yes,A-,27,1,A-,28,1,A+,26,1,B-,27,1,B-,26,1,A-,27,1,A+,28,1,A+,27,1,A-,26,1,3.51,2.965,1
Female,more than 6 hours,No,No,No,B-,31,1,B,30,1,ab,29,1,ab,31,1,C-,30,1,C+,31,1,C+,30,1,C,29,1,B-,31,1,1.94,2.975,0
Male,less than 1 hour,Yes,No,Yes,B+,22,1,A-,21,1,A+,20,1,C+,21,1,C,20,1,B+,21,1,B-,22,1,B+,20,1,B,21,1,2.97,3.085,1
Male,4,No,Yes,No,B+,28,1,A-,29,1,A+,27,1,C,28,1,B+,29,1,A-,28,1,A-,29,1,B,28,1,A-,29,1,3.34,2.55,1
Female,more than 6 hours,No,No,Yes,ab,31,0,B-,30,1,C,29,1,ab,31,0,C,30,1,C+,31,1,D,30,1,C,29,1,B+,31,1,1.62,2.45,0
Male,1,Yes,Yes,No,A-,26,1,B,25,1,A,27,1,C-,26,1,C+,25,1,B-,26,1,D+,27,1,C,26,1,A-,25,1,2.67,2.96,0
Female,5,Yes,No,No,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,0,0.875,0
